loc: 339, nll: 0.72, ppl: 2.06
loc: 340, nll: 2.98, ppl: 19.62
loc: 341, nll: 1.78, ppl: 5.93
loc: 342, nll: 0.08, ppl: 1.08
loc: 343, nll: 6.14, ppl: 464.88
loc: 344, nll: 0.11, ppl: 1.11
loc: 345, nll: 1.22, ppl: 3.38
loc: 346, nll: 0.24, ppl: 1.28
loc: 347, nll: 2.13, ppl: 8.42
loc: 348, nll: 0.61, ppl: 1.85
loc: 349, nll: 10.18, ppl: 26302.61
loc: 350, nll: 0.21, ppl: 1.23
loc: 351, nll: 6.34, ppl: 566.77
loc: 352, nll: 1.39, ppl: 4.00
loc: 353, nll: 3.31, ppl: 27.25
loc: 354, nll: 4.85, ppl: 127.82
loc: 355, nll: 3.64, ppl: 38.21
loc: 356, nll: 0.02, ppl: 1.02
loc: 357, nll: 0.00, ppl: 1.00
loc: 358, nll: 0.31, ppl: 1.36
loc: 359, nll: 2.32, ppl: 10.17
loc: 360, nll: 2.55, ppl: 12.83
loc: 361, nll: 0.18, ppl: 1.20
loc: 362, nll: 6.09, ppl: 441.54
loc: 363, nll: 3.51, ppl: 33.55
loc: 364, nll: 7.46, ppl: 1739.88
loc: 365, nll: 2.99, ppl: 19.92
loc: 366, nll: 0.17, ppl: 1.19
loc: 367, nll: 0.02, ppl: 1.02
loc: 368, nll: 1.70, ppl: 5.48
loc: 369, nll: 2.36, ppl: 10.61
loc: 370, nll: 0.39, ppl: 1.47
loc: 371, nll: 1.30, ppl: 3.66
loc: 372, nll: 3.39, ppl: 29.78
loc: 373, nll: 2.76, ppl: 15.80
loc: 374, nll: 0.66, ppl: 1.93
loc: 375, nll: 0.54, ppl: 1.71
loc: 376, nll: 5.48, ppl: 240.19
loc: 377, nll: 1.38, ppl: 3.96
loc: 378, nll: 0.35, ppl: 1.41
loc: 379, nll: 1.42, ppl: 4.15
loc: 380, nll: 1.20, ppl: 3.30
loc: 381, nll: 2.20, ppl: 9.00
loc: 382, nll: 0.22, ppl: 1.25
loc: 383, nll: 0.47, ppl: 1.60
