loc: 228, nll: 10.66, ppl: 42685.94
loc: 229, nll: 0.74, ppl: 2.09
loc: 230, nll: 6.90, ppl: 996.84
loc: 231, nll: 1.65, ppl: 5.20
loc: 232, nll: 0.03, ppl: 1.03
loc: 233, nll: 1.26, ppl: 3.53
loc: 234, nll: 1.25, ppl: 3.48
loc: 235, nll: 1.31, ppl: 3.69
loc: 236, nll: 5.49, ppl: 243.41
loc: 237, nll: 0.01, ppl: 1.01
loc: 238, nll: 0.03, ppl: 1.03
loc: 239, nll: 2.27, ppl: 9.67
loc: 240, nll: 2.12, ppl: 8.31
loc: 241, nll: 1.72, ppl: 5.59
loc: 242, nll: 1.60, ppl: 4.95
loc: 243, nll: 0.17, ppl: 1.19
loc: 244, nll: 0.01, ppl: 1.01
loc: 245, nll: 0.00, ppl: 1.00
loc: 246, nll: 0.00, ppl: 1.00
loc: 247, nll: 2.02, ppl: 7.56
loc: 248, nll: 0.00, ppl: 1.00
loc: 249, nll: 0.99, ppl: 2.70
loc: 250, nll: 0.00, ppl: 1.00
loc: 251, nll: 0.85, ppl: 2.34
loc: 252, nll: 3.79, ppl: 44.15
loc: 253, nll: 0.00, ppl: 1.00
loc: 254, nll: 0.22, ppl: 1.25
loc: 255, nll: 1.60, ppl: 4.96
loc: 256, nll: 0.12, ppl: 1.13
loc: 257, nll: 1.14, ppl: 3.11
loc: 258, nll: 1.50, ppl: 4.50
loc: 259, nll: 2.66, ppl: 14.27
loc: 260, nll: 1.97, ppl: 7.18
loc: 261, nll: 1.62, ppl: 5.03
loc: 262, nll: 5.18, ppl: 177.78
loc: 263, nll: 1.24, ppl: 3.46
loc: 264, nll: 2.28, ppl: 9.81
loc: 265, nll: 0.00, ppl: 1.00
loc: 266, nll: 0.32, ppl: 1.38
loc: 267, nll: 0.00, ppl: 1.00
loc: 268, nll: 2.45, ppl: 11.60
loc: 269, nll: 0.76, ppl: 2.14
loc: 270, nll: 1.98, ppl: 7.23
loc: 271, nll: 0.01, ppl: 1.01
loc: 272, nll: 0.06, ppl: 1.06
loc: 273, nll: 1.04, ppl: 2.84
loc: 274, nll: 0.54, ppl: 1.71
loc: 275, nll: 2.71, ppl: 14.96
loc: 276, nll: 0.77, ppl: 2.15
loc: 277, nll: 0.01, ppl: 1.01
loc: 278, nll: 1.72, ppl: 5.60
loc: 279, nll: 1.44, ppl: 4.21
loc: 280, nll: 2.60, ppl: 13.41
loc: 281, nll: 0.44, ppl: 1.56
loc: 282, nll: 0.07, ppl: 1.07
loc: 283, nll: 0.00, ppl: 1.00
loc: 284, nll: 0.00, ppl: 1.00
loc: 285, nll: 4.26, ppl: 71.03
loc: 286, nll: 0.07, ppl: 1.07
loc: 287, nll: 1.24, ppl: 3.45
loc: 288, nll: 0.31, ppl: 1.37
loc: 289, nll: 0.00, ppl: 1.00
loc: 290, nll: 0.00, ppl: 1.00
loc: 291, nll: 0.00, ppl: 1.00
loc: 292, nll: 0.00, ppl: 1.00
loc: 293, nll: 1.34, ppl: 3.82
loc: 294, nll: 0.04, ppl: 1.04
loc: 295, nll: 2.94, ppl: 18.93
loc: 296, nll: 0.10, ppl: 1.11
loc: 297, nll: 0.36, ppl: 1.43
loc: 298, nll: 0.49, ppl: 1.64
loc: 299, nll: 0.00, ppl: 1.00
loc: 300, nll: 0.20, ppl: 1.22
loc: 301, nll: 1.03, ppl: 2.81
loc: 302, nll: 1.10, ppl: 3.00
loc: 303, nll: 0.87, ppl: 2.38
loc: 304, nll: 0.37, ppl: 1.45
loc: 305, nll: 2.56, ppl: 12.88
loc: 306, nll: 7.26, ppl: 1426.82
loc: 307, nll: 3.11, ppl: 22.40
loc: 308, nll: 0.60, ppl: 1.82
loc: 309, nll: 3.18, ppl: 24.08
loc: 310, nll: 0.29, ppl: 1.34
loc: 311, nll: 0.33, ppl: 1.39
loc: 312, nll: 1.59, ppl: 4.90
loc: 313, nll: 0.01, ppl: 1.01
loc: 314, nll: 0.09, ppl: 1.09
loc: 315, nll: 0.09, ppl: 1.09
loc: 316, nll: 0.33, ppl: 1.39
loc: 317, nll: 0.00, ppl: 1.00
loc: 318, nll: 0.00, ppl: 1.00
loc: 319, nll: 0.17, ppl: 1.19
loc: 320, nll: 0.00, ppl: 1.00
loc: 321, nll: 0.43, ppl: 1.54
loc: 322, nll: 0.05, ppl: 1.05
loc: 323, nll: 2.31, ppl: 10.06
loc: 324, nll: 0.62, ppl: 1.85
loc: 325, nll: 0.56, ppl: 1.76
loc: 326, nll: 8.12, ppl: 3352.32
loc: 327, nll: 0.34, ppl: 1.40
loc: 328, nll: 0.09, ppl: 1.09
loc: 329, nll: 0.54, ppl: 1.72
loc: 330, nll: 0.65, ppl: 1.91
loc: 331, nll: 5.02, ppl: 150.89
loc: 332, nll: 0.42, ppl: 1.52
loc: 333, nll: 2.51, ppl: 12.36
